,country,cluster_id,gx_entry_date
0,country_14,ID_1358,2019-11-01
1,country_16,ID_1454,2020-09-01
2,country_28,ID_2295,2021-10-01
3,country_6,ID_477,2022-08-01
4,country_0,ID_5,2021-10-01
5,country_4,ID_0,2017-06-01
6,country_14,ID_1399,2020-10-01
7,country_22,ID_1928,2020-09-01
8,country_41,ID_3278,2020-11-01
9,country_21,ID_1832,2023-12-01
10,country_36,ID_2670,2025-02-01
11,country_42,ID_3402,2016-10-01
12,country_0,ID_46,2021-12-01
13,country_1,ID_237,2023-01-01
14,country_28,ID_2328,2021-08-01
15,country_11,ID_1031,2022-04-01
16,country_14,ID_1379,2025-08-01
17,country_33,ID_2823,2022-03-01
18,country_8,ID_754,2025-04-01
19,country_10,ID_859,2023-08-01
20,country_14,ID_1381,2024-04-01
21,country_15,ID_939,2022-05-01
22,country_33,ID_2832,2021-12-01
23,country_11,ID_1072,2022-01-01
24,country_18,ID_1662,2022-04-01
25,country_22,ID_1949,2022-10-01
26,country_6,ID_491,2019-09-01
27,country_38,ID_3108,2022-10-01
28,country_38,ID_3051,2021-08-01
29,country_10,ID_3378,2017-03-01
30,country_14,ID_3387,2014-09-01
31,country_40,ID_3027,2023-06-01
32,country_38,ID_3093,2024-01-01
33,country_24,ID_2091,2025-09-01
34,country_41,ID_3244,2024-03-01
35,country_4,ID_335,2024-01-01
36,country_21,ID_1835,2022-09-01
37,country_19,ID_1756,2021-04-01
38,country_18,ID_1614,2021-05-01
39,country_35,ID_1193,2023-11-01
40,country_10,ID_889,2021-12-01
41,country_20,ID_1698,2021-12-01
42,country_27,ID_2354,2021-07-01
43,country_21,ID_1880,2024-09-01
44,country_42,ID_3403,2017-09-01
45,country_26,ID_2154,2022-09-01
46,country_4,ID_305,2022-02-01
47,country_10,ID_840,2023-05-01
48,country_16,ID_1500,2022-12-01
49,country_1,ID_185,2021-06-01
50,country_31,ID_2587,2022-09-01
51,country_19,ID_1765,2021-10-01
52,country_19,ID_1773,2022-01-01
53,country_8,ID_756,2023-07-01
54,country_12,ID_1151,2022-10-01
55,country_29,ID_2428,2022-10-01
56,country_14,ID_1407,2023-02-01
57,country_8,ID_739,2020-10-01
58,country_30,ID_2528,2023-03-01
59,country_24,ID_2052,2022-03-01
60,country_34,ID_3328,2022-03-01
61,country_21,ID_1826,2022-01-01
62,country_14,ID_1401,2024-10-01
63,country_28,ID_2297,2021-06-01
64,country_37,ID_566,2021-07-01
65,country_40,ID_3033,2019-12-01
66,country_11,ID_1019,2024-04-01
67,country_15,ID_946,2024-07-01
68,country_40,ID_2998,2022-04-01
69,country_19,ID_1805,2023-02-01
70,country_27,ID_2407,2022-10-01
71,country_21,ID_1883,2021-11-01
72,country_14,ID_1361,2019-07-01
73,country_14,ID_1368,2019-09-01
74,country_29,ID_2435,2023-04-01
75,country_37,ID_625,2021-09-01
76,country_24,ID_2070,2023-01-01
77,country_39,ID_2908,2019-09-01
78,country_15,ID_949,2024-01-01
79,country_33,ID_2830,2022-11-01
80,country_22,ID_1958,2023-09-01
81,country_16,ID_1453,2022-04-01
82,country_14,ID_1400,2019-04-01
83,country_41,ID_3273,2022-10-01
84,country_6,ID_510,2022-11-01
85,country_0,ID_45,2022-02-01
86,country_33,ID_2821,2024-01-01
87,country_41,ID_3406,2013-12-01
88,country_35,ID_1235,2022-10-01
89,country_22,ID_1925,2023-05-01
90,country_14,ID_1378,2024-01-01
91,country_10,ID_838,2023-10-01
92,country_8,ID_731,2022-09-01
93,country_10,ID_866,2022-05-01
94,country_16,ID_1503,2023-04-01
95,country_23,ID_2044,2023-01-01
96,country_39,ID_2918,2019-08-01
97,country_15,ID_3381,2018-12-01
98,country_6,ID_258,2017-05-01
99,country_13,ID_1295,2024-05-01
100,country_25,ID_2231,2027-05-01
101,country_27,ID_2355,2021-05-01
102,country_1,ID_191,2023-09-01
103,country_7,ID_673,2022-08-01
104,country_6,ID_513,2023-04-01
105,country_22,ID_3397,2018-08-01
106,country_22,ID_3398,2018-07-01
107,country_17,ID_1522,2021-06-01
108,country_17,ID_1527,2021-09-01
109,country_40,ID_2993,2020-04-01
110,country_5,ID_429,2023-02-01
111,country_28,ID_2283,2021-12-01
112,country_18,ID_1621,2023-10-01
113,country_21,ID_1823,2023-12-01
114,country_26,ID_2150,2022-07-01
115,country_13,ID_1273,2020-09-01
116,country_29,ID_2469,2020-07-01
117,country_16,ID_1449,2023-02-01
118,country_16,ID_1472,2023-09-01
119,country_4,ID_366,2022-07-01
120,country_16,ID_1450,2025-02-01
121,country_35,ID_1202,2023-05-01
122,country_21,ID_1869,2020-08-01
123,country_22,ID_3396,2016-03-01
124,country_41,ID_3242,2023-12-01
125,country_39,ID_2907,2020-07-01
126,country_30,ID_2521,2022-03-01
127,country_39,ID_2937,2022-09-01
128,country_26,ID_2147,2022-10-01
129,country_2,ID_149,2022-05-01
130,country_28,ID_2305,2022-11-01
131,country_21,ID_1834,2025-01-01
132,country_41,ID_3293,2023-10-01
133,country_29,ID_2424,2024-08-01
134,country_26,ID_2145,2024-03-01
135,country_6,ID_511,2023-05-01
136,country_17,ID_1539,2021-10-01
137,country_4,ID_343,2023-05-01
