cluster_id,launch_date
ID_1,1977-09-01
ID_2,1992-03-01
ID_3,2004-04-01
ID_4,1999-07-01
ID_5,1998-04-01
ID_6,1966-12-01
ID_7,1993-06-01
ID_8,1999-03-01
ID_9,2001-07-01
ID_10,1998-03-01
ID_11,2003-10-01
ID_12,2001-05-01
ID_13,1986-09-01
ID_14,1992-04-01
ID_15,1986-09-01
ID_16,1998-11-01
ID_17,2004-11-01
ID_18,2008-08-01
ID_19,2006-09-01
ID_20,1995-09-01
ID_21,2012-01-01
ID_22,2008-10-01
ID_23,2010-12-01
ID_24,2007-09-01
ID_25,2012-01-01
ID_26,2000-11-01
ID_27,2011-09-01
ID_28,1998-03-01
ID_30,2012-12-01
ID_31,2013-10-01
ID_32,2014-10-01
ID_34,2016-04-01
ID_35,2015-12-01
ID_36,2015-06-01
ID_37,2017-09-01
ID_38,2017-03-01
ID_40,2016-07-01
ID_42,2016-04-01
ID_43,2007-11-01
ID_44,2012-09-01
ID_46,2012-01-01
ID_47,2019-03-01
ID_48,1991-08-01
ID_49,2005-05-01
ID_50,1983-09-01
ID_51,1998-03-01
ID_52,2008-02-01
ID_53,2006-08-01
ID_54,1972-11-01
ID_55,1999-02-01
ID_56,2010-01-01
ID_57,2008-05-01
ID_58,2015-12-01
ID_59,2001-07-01
ID_60,2008-08-01
ID_61,2008-10-01
ID_62,2015-08-01
ID_63,1996-10-01
ID_64,2005-08-01
ID_65,2007-01-01
ID_66,2016-04-01
ID_67,2016-04-01
ID_68,2016-04-01
ID_69,2017-09-01
ID_70,2017-09-01
ID_71,2016-07-01
ID_72,2016-07-01
ID_73,2016-07-01
ID_74,2016-04-01
ID_75,2016-04-01
ID_76,2016-04-01
ID_77,2012-01-01
ID_78,2017-09-01
ID_79,2017-09-01
ID_80,2016-04-01
ID_81,2016-04-01
ID_82,2016-04-01
ID_83,2009-01-29
ID_84,1993-04-01
ID_86,1997-04-01
ID_87,1999-07-01
ID_88,1975-01-01
ID_89,1975-01-01
ID_90,1999-03-01
ID_91,2001-12-01
ID_92,1998-06-01
ID_93,2004-07-01
ID_94,1983-06-01
ID_95,1988-06-01
ID_96,2006-01-01
ID_97,1983-06-01
ID_98,1998-04-01
ID_99,2000-04-01
ID_100,2004-05-01
ID_101,2007-04-01
ID_102,2007-11-01
ID_103,1995-10-01
ID_104,2017-11-01
ID_105,2008-01-01
ID_106,2008-04-01
ID_107,2006-08-01
ID_108,2009-08-01
ID_109,2011-05-01
ID_110,2009-12-01
ID_111,1998-06-01
ID_112,2009-12-01
ID_113,2015-03-01
ID_114,2012-11-01
ID_115,2013-12-01
ID_117,2012-10-01
ID_118,2011-10-01
ID_120,2016-01-01
ID_121,2006-01-01
ID_122,2017-10-01
ID_123,2006-08-01
ID_125,2015-09-01
ID_127,2013-11-01
ID_128,2008-06-01
ID_129,2010-08-01
ID_131,2010-05-01
ID_132,2018-09-01
ID_133,1999-10-01
ID_134,1992-12-01
ID_135,2011-11-01
ID_136,2014-07-01
ID_137,2000-06-01
ID_138,2009-01-01
ID_139,2006-05-01
ID_140,2015-12-01
ID_141,2002-01-01
ID_143,1997-06-01
ID_144,2006-10-01
ID_145,2012-10-01
ID_146,2012-10-01
ID_147,2012-10-01
ID_148,2017-10-01
ID_149,2017-10-01
ID_150,2015-09-01
ID_151,2015-09-01
ID_152,2015-09-01
ID_153,2013-11-01
ID_154,2013-11-01
ID_155,2013-11-01
ID_156,2010-05-01
ID_157,2017-10-01
ID_158,2017-10-01
ID_159,2013-11-01
ID_160,2013-11-01
ID_161,2013-11-01
ID_162,2009-01-29
ID_163,2009-01-29
ID_164,1969-03-01
ID_166,2008-11-01
ID_167,1997-12-01
ID_168,2008-11-01
ID_169,1964-05-01
ID_170,1993-10-01
ID_171,1976-11-01
ID_172,1981-03-01
ID_173,1999-05-01
ID_174,2001-08-01
ID_175,2000-08-01
ID_176,2003-08-01
ID_177,1988-04-01
ID_178,1990-03-01
ID_179,1988-04-01
ID_180,2000-04-01
ID_181,2005-03-01
ID_182,2008-11-01
ID_183,2010-06-01
ID_184,1996-02-01
ID_185,2009-01-29
ID_186,2008-08-01
ID_187,2011-03-01
ID_188,2011-06-01
ID_189,2009-09-01
ID_190,2011-05-01
ID_191,2010-11-01
ID_192,2008-05-01
ID_193,2015-03-01
ID_194,2013-10-01
ID_195,2014-09-01
ID_197,2013-08-01
ID_199,2016-01-01
ID_200,2009-01-29
ID_201,2009-01-29
ID_203,2014-03-01
ID_205,2013-12-01
ID_206,2007-08-01
ID_207,2010-09-01
ID_209,2011-08-01
ID_211,2009-01-29
ID_212,1985-05-01
ID_213,2012-12-01
ID_214,2002-07-01
ID_216,2017-01-01
ID_218,2001-02-01
ID_219,2010-06-01
ID_220,2006-11-01
ID_221,2015-04-01
ID_222,2002-06-01
ID_227,2006-12-01
ID_228,2007-08-01
ID_229,2003-08-01
ID_230,2013-08-01
ID_231,2013-08-01
ID_232,2013-08-01
ID_233,2009-01-29
ID_234,2009-01-29
ID_235,2014-03-01
ID_236,2014-03-01
ID_237,2014-03-01
ID_238,2013-12-01
ID_239,2013-12-01
ID_240,2013-12-01
ID_241,2011-08-01
ID_242,2009-01-29
ID_243,2009-01-29
ID_244,2013-12-01
ID_245,2013-12-01
ID_246,2013-12-01
ID_251,2004-04-01
ID_252,1994-10-01
ID_253,2009-01-29
ID_254,2002-03-01
ID_255,2006-01-01
ID_256,2009-01-29
ID_257,1994-10-01
ID_259,2001-03-01
ID_260,2002-01-01
ID_261,2001-03-01
ID_262,2005-04-01
ID_263,2003-02-01
ID_265,2000-12-01
ID_268,2012-11-01
ID_269,2010-05-01
ID_270,2000-03-01
ID_272,2012-03-01
ID_273,2011-12-01
ID_274,2002-01-01
ID_275,2014-03-01
ID_276,2015-05-01
ID_277,2017-04-01
ID_284,2011-12-01
ID_286,1967-03-01
ID_287,2002-01-01
ID_288,2015-07-01
ID_289,1990-08-01
ID_290,1998-09-01
ID_291,1999-05-01
ID_292,1999-09-01
ID_293,1965-12-01
ID_294,1992-03-01
ID_295,1975-09-01
ID_296,2000-10-01
ID_297,2002-10-01
ID_298,1999-04-01
ID_299,2005-10-01
ID_300,1984-09-01
ID_301,1988-09-01
ID_302,2006-03-01
ID_303,1984-09-01
ID_304,1988-09-01
ID_305,2002-01-01
ID_306,2005-09-01
ID_307,2007-05-01
ID_308,2009-01-01
ID_309,1997-04-01
ID_310,2018-09-01
ID_311,2008-08-01
ID_312,2009-01-01
ID_313,2011-04-01
ID_314,2010-02-01
ID_315,2012-01-01
ID_316,2010-07-01
ID_317,1999-04-01
ID_318,2012-04-01
ID_319,2015-09-01
ID_320,2013-09-01
ID_321,2014-09-01
ID_323,2014-02-01
ID_324,2016-03-01
ID_326,2016-09-01
ID_327,2006-03-01
ID_328,2018-07-01
ID_329,2007-06-01
ID_331,2017-01-01
ID_333,2014-04-01
ID_334,2009-08-01
ID_335,2011-02-01
ID_337,2010-08-01
ID_339,1993-01-01
ID_340,2011-04-01
ID_341,1986-08-01
ID_342,2011-04-01
ID_343,2003-02-01
ID_344,2015-03-01
ID_345,1998-10-01
ID_346,2000-05-01
ID_347,2009-08-01
ID_348,2007-01-01
ID_349,2015-08-01
ID_350,2002-03-01
ID_351,1966-12-01
ID_355,2007-07-01
ID_356,2014-02-01
ID_357,2014-02-01
ID_358,2014-02-01
ID_359,2018-07-01
ID_360,2018-07-01
ID_361,2017-01-01
ID_362,2017-01-01
ID_363,2017-01-01
ID_364,2014-04-01
ID_365,2014-04-01
ID_366,2014-04-01
ID_367,2010-08-01
ID_368,2018-07-01
ID_369,2018-07-01
ID_370,2014-04-01
ID_371,2014-04-01
ID_372,2014-04-01
ID_373,1970-11-01
ID_375,1995-02-01
ID_376,1964-08-01
ID_377,1984-09-01
ID_378,1997-03-01
ID_379,1998-06-01
ID_380,1998-06-01
ID_381,1966-03-01
ID_382,1988-06-01
ID_383,1976-04-01
ID_384,1998-10-01
ID_385,2001-10-01
ID_386,1998-04-01
ID_387,2000-09-01
ID_388,2004-03-01
ID_389,2000-12-01
ID_390,1998-08-01
ID_391,1995-11-01
ID_392,1998-08-01
ID_393,1999-11-01
ID_394,2001-07-01
ID_395,2006-12-01
ID_396,2004-01-01
ID_397,2006-08-01
ID_398,2018-08-01
ID_399,2009-05-01
ID_400,2011-03-01
ID_401,2009-09-01
ID_402,2011-11-01
ID_403,2008-12-01
ID_404,2008-01-01
ID_405,2010-09-01
ID_406,2015-05-01
ID_407,2016-06-01
ID_409,2016-02-01
ID_410,2009-01-29
ID_411,2018-11-01
ID_412,2009-01-29
ID_413,2016-07-01
ID_414,2008-02-01
ID_415,2011-04-01
ID_417,2011-10-01
ID_418,1996-02-01
ID_419,2004-09-01
ID_420,1986-03-01
ID_421,2018-09-01
ID_422,1998-07-01
ID_423,2007-05-01
ID_424,2008-06-01
ID_425,1999-01-01
ID_426,2010-01-01
ID_427,2007-08-01
ID_428,2017-07-01
ID_429,2001-06-01
ID_430,2002-10-01
ID_431,2009-01-29
ID_432,2007-06-01
ID_433,2008-05-01
ID_434,2016-07-01
ID_435,2005-10-01
ID_436,2016-02-01
ID_437,2016-02-01
ID_438,2016-02-01
ID_439,2018-11-01
ID_440,2018-11-01
ID_441,2009-01-29
ID_442,2009-01-29
ID_443,2009-01-29
ID_444,2016-07-01
ID_445,2016-07-01
ID_446,2016-07-01
ID_447,2011-10-01
ID_448,2018-11-01
ID_449,2018-11-01
ID_450,2016-07-01
ID_451,2016-07-01
ID_452,2016-07-01
ID_453,1973-01-01
ID_454,2002-04-01
ID_455,1956-01-01
ID_457,1997-11-01
ID_458,1997-09-01
ID_459,2000-05-01
ID_460,1969-10-01
ID_461,1993-05-01
ID_462,2000-11-01
ID_463,2001-10-01
ID_464,2000-06-01
ID_465,2005-02-01
ID_466,2000-11-01
ID_467,1984-04-01
ID_468,1989-08-01
ID_469,2005-02-01
ID_470,1993-05-01
ID_471,1984-04-01
ID_472,1999-01-01
ID_473,2006-11-01
ID_474,2017-09-01
ID_475,2008-11-01
ID_476,2012-03-01
ID_477,2010-02-01
ID_478,2011-04-01
ID_479,2000-06-01
ID_480,2010-06-01
ID_481,2010-04-01
ID_482,2015-04-01
ID_483,2013-01-01
ID_484,2014-03-01
ID_486,2012-08-01
ID_488,2015-11-01
ID_489,2015-04-01
ID_490,2005-02-01
ID_491,2018-04-01
ID_492,2016-03-01
ID_493,2013-09-01
ID_494,2013-09-01
ID_495,2009-06-01
ID_496,2010-08-01
ID_498,2011-04-01
ID_499,2018-12-01
ID_500,1990-08-01
ID_501,2004-06-01
ID_502,1982-01-01
ID_503,2011-02-01
ID_504,1998-01-01
ID_506,2018-03-01
ID_507,2014-07-01
ID_508,2008-09-01
ID_509,2014-03-01
ID_510,1997-06-01
ID_511,2016-10-01
ID_512,1998-11-01
ID_513,2010-01-01
ID_514,2006-05-01
ID_515,2015-02-01
ID_516,2008-12-01
ID_517,1951-01-01
ID_518,2004-07-01
ID_520,2007-08-01
ID_521,2013-09-01
ID_522,2012-08-01
ID_523,2012-08-01
ID_524,2012-08-01
ID_525,2018-04-01
ID_526,2018-04-01
ID_527,2013-09-01
ID_528,2013-09-01
ID_529,2013-09-01
ID_530,2013-09-01
ID_531,2013-09-01
ID_532,2013-09-01
ID_533,2011-04-01
ID_534,2018-04-01
ID_535,2018-04-01
ID_536,2013-09-01
ID_537,2013-09-01
ID_538,2013-09-01
ID_539,1964-07-01
ID_540,1995-02-01
ID_541,1954-01-01
ID_542,1968-01-01
ID_544,1997-04-01
ID_545,1963-12-01
ID_546,1992-01-01
ID_547,1974-09-01
ID_548,1998-06-01
ID_549,2001-07-01
ID_550,1997-08-01
ID_551,2002-11-01
ID_552,2001-01-01
ID_553,1983-06-01
ID_554,1988-09-01
ID_555,2006-11-01
ID_556,1983-06-01
ID_557,1997-12-01
ID_558,2000-12-01
ID_559,2005-05-01
ID_560,2007-02-01
ID_561,2017-07-01
ID_562,2007-08-01
ID_563,2010-05-01
ID_564,2010-07-01
ID_565,2009-12-01
ID_566,2011-02-01
ID_567,2009-10-01
ID_568,1997-08-01
ID_569,2009-08-01
ID_570,2015-03-01
ID_571,2013-09-01
ID_572,2014-08-01
ID_574,2013-01-01
ID_575,2011-12-01
ID_577,2015-10-01
ID_578,2015-01-01
ID_579,2006-11-01
ID_581,2017-12-01
ID_582,2016-07-01
ID_583,2014-02-01
ID_584,2007-05-01
ID_585,2010-09-01
ID_587,2010-08-01
ID_588,2018-08-01
ID_589,1995-03-01
ID_590,2008-07-01
ID_591,1982-09-01
ID_592,2011-05-01
ID_593,2003-12-01
ID_595,2009-01-01
ID_596,1978-09-01
ID_597,2000-05-01
ID_598,2009-07-01
ID_599,2015-02-01
ID_600,1982-05-01
ID_604,1999-04-01
ID_605,1996-09-01
ID_606,2002-09-01
ID_607,2005-12-01
ID_608,2008-09-01
ID_609,2006-09-01
ID_610,2014-02-01
