,cluster_id,cluster_id_anom
0,ID_0,BE_1658
1,ID_1,CARB1025001
2,ID_2,CARB1126001
3,ID_3,CARB1141001
4,ID_4,CARB1245001
5,ID_5,CARB1249001
6,ID_6,CARB1427001
7,ID_7,CARB1450001
8,ID_8,CARB1627001
9,ID_9,CARB1658001
10,ID_10,CARB1677001
11,ID_11,CARB1784001
12,ID_12,CARB1787001
13,ID_13,CARB1804001
14,ID_14,CARB1816001
15,ID_15,CARB2100001
16,ID_16,CARB2101001
17,ID_17,CARB2168001
18,ID_18,CARB2246001
19,ID_19,CARB2248001
20,ID_20,CARB2258001
21,ID_21,CARB2289001
22,ID_22,CARB2293001
23,ID_23,CARB2296001
24,ID_24,CARB2298001
25,ID_25,CARB2316001
26,ID_26,CARB2321001
27,ID_27,CARB2336001
28,ID_28,CARB2350001
29,ID_29,CARB2358001
30,ID_30,CARB2366001
31,ID_31,CARB2367001
32,ID_32,CARB2368001
33,ID_33,CARB2377001
34,ID_34,CARB2377099
35,ID_35,CARB2395001
36,ID_36,CARB2396001
37,ID_37,CARB2412099
38,ID_38,CARB2417001
39,ID_39,CARB2420001
40,ID_40,CARB2420099
41,ID_41,CARB2421001
42,ID_42,CARB2421099
43,ID_43,CARB2422001
44,ID_44,CARB2423001
45,ID_45,CARB2425001
46,ID_46,CARB2425099
47,ID_47,CARB2450001
48,ID_48,CARB2455001
49,ID_49,CARB2458001
50,ID_50,CARB2459001
51,ID_51,CARB2461001
52,ID_52,CARB2462001
53,ID_53,CARB2466001
54,ID_54,CARB2468001
55,ID_55,CARB2475001
56,ID_56,CARB2476001
57,ID_57,CARB2477001
58,ID_58,CARB2478001
59,ID_59,CARB2479001
60,ID_60,CARB2601001
61,ID_61,CARB2614001
62,ID_62,CARBCOSE001
63,ID_63,CARBDIOV001
64,ID_64,CARBEXFO001
65,ID_65,CARBXOLA001
66,ID_66,CARIN237701
67,ID_67,CARIN237702
68,ID_68,CARIN237703
69,ID_69,CARIN241201
70,ID_70,CARIN241202
71,ID_71,CARIN242001
72,ID_72,CARIN242004
73,ID_73,CARIN242005
74,ID_74,CARIN242101
75,ID_75,CARIN242104
76,ID_76,CARIN242105
77,ID_77,CARIN242501
78,ID_78,CARIN259501
79,ID_79,CARIN259502
80,ID_80,CARIN267201
81,ID_81,CARIN267204
82,ID_82,CARIN267205
83,ID_83,CATB1025001
84,ID_84,CATB1126001
85,ID_85,CATB1161001
86,ID_86,CATB1249001
87,ID_87,CATB1427001
88,ID_88,CATB1492001
89,ID_89,CATB1533001
90,ID_90,CATB1627001
91,ID_91,CATB1658001
92,ID_92,CATB1677001
93,ID_93,CATB1784001
94,ID_94,CATB1804001
95,ID_95,CATB1816001
96,ID_96,CATB2017001
97,ID_97,CATB2100001
98,ID_98,CATB2101001
99,ID_99,CATB2128001
100,ID_100,CATB2168001
101,ID_101,CATB2244001
102,ID_102,CATB2246001
103,ID_103,CATB2258001
104,ID_104,CATB2272001
105,ID_105,CATB2289001
106,ID_106,CATB2293001
107,ID_107,CATB2298001
108,ID_108,CATB2316001
109,ID_109,CATB2336001
110,ID_110,CATB2344001
111,ID_111,CATB2350001
112,ID_112,CATB2358001
113,ID_113,CATB2365001
114,ID_114,CATB2367001
115,ID_115,CATB2368001
116,ID_116,CATB2377001
117,ID_117,CATB2377099
118,ID_118,CATB2378001
119,ID_119,CATB2387001
120,ID_120,CATB2395001
121,ID_121,CATB2402001
122,ID_122,CATB2412099
123,ID_123,CATB2415001
124,ID_124,CATB2420001
125,ID_125,CATB2420099
126,ID_126,CATB2421001
127,ID_127,CATB2421099
128,ID_128,CATB2422001
129,ID_129,CATB2423001
130,ID_130,CATB2425001
131,ID_131,CATB2425099
132,ID_132,CATB2450001
133,ID_133,CATB2455001
134,ID_134,CATB2459001
135,ID_135,CATB2460001
136,ID_136,CATB2466001
137,ID_137,CATB2475001
138,ID_138,CATB2476001
139,ID_139,CATB2477001
140,ID_140,CATB2478001
141,ID_141,CATB2479001
142,ID_142,CATB2535001
143,ID_143,CATBDIOV001
144,ID_144,CATBEXJA001
145,ID_145,CATIN237701
146,ID_146,CATIN237702
147,ID_147,CATIN237703
148,ID_148,CATIN241201
149,ID_149,CATIN241202
150,ID_150,CATIN242001
151,ID_151,CATIN242004
152,ID_152,CATIN242005
153,ID_153,CATIN242101
154,ID_154,CATIN242104
155,ID_155,CATIN242105
156,ID_156,CATIN242501
157,ID_157,CATIN259501
158,ID_158,CATIN259502
159,ID_159,CATIN267201
160,ID_160,CATIN267204
161,ID_161,CATIN267205
162,ID_162,CAUB1126001
163,ID_163,CAUB1141001
164,ID_164,CAUB1146001
165,ID_165,CAUB1161001
166,ID_166,CAUB1177001
167,ID_167,CAUB1249001
168,ID_168,CAUB1262001
169,ID_169,CAUB1427001
170,ID_170,CAUB1450001
