,country,cluster_id,competitor_entry_date
0,country_4,ID_320,2014-08-01
1,country_35,ID_1202,2022-04-01
2,country_14,ID_1405,2022-03-01
3,country_14,ID_1405,2002-11-01
4,country_22,ID_1958,2007-03-01
5,country_24,ID_2087,2018-10-01
6,country_4,ID_359,2019-06-01
7,country_34,ID_3344,2021-08-01
8,country_33,ID_2842,2018-08-01
9,country_35,ID_1200,2019-07-01
10,country_2,ID_109,2007-06-01
11,country_35,ID_1194,2018-08-01
12,country_20,ID_1710,2013-11-01
13,country_37,ID_583,2013-11-01
14,country_16,ID_1453,2017-04-01
15,country_22,ID_1939,2019-03-01
16,country_15,ID_988,2022-09-01
17,country_35,ID_1183,2022-01-01
18,country_41,ID_3280,2021-11-01
19,country_2,ID_95,2013-07-01
20,country_38,ID_3108,2007-02-01
21,country_21,ID_1829,2015-11-01
22,country_16,ID_1457,2022-12-01
23,country_6,ID_498,2018-04-01
24,country_15,ID_945,2001-02-01
25,country_21,ID_1834,2006-10-01
26,country_42,ID_3159,2015-05-01
27,country_16,ID_1475,2022-05-01
28,country_35,ID_1201,2021-12-01
29,country_20,ID_1700,2013-10-01
30,country_21,ID_1833,2015-06-01
31,country_7,ID_700,2015-12-01
32,country_40,ID_3005,2024-03-01
33,country_18,ID_1626,1999-10-01
34,country_14,ID_1374,1990-12-01
35,country_37,ID_599,2022-09-01
36,country_14,ID_1385,2015-10-01
37,country_1,ID_198,2022-07-01
38,country_20,ID_1700,2015-09-01
39,country_36,ID_2711,2020-10-01
40,country_35,ID_1181,2001-02-01
41,country_36,ID_2683,2021-11-01
43,country_10,ID_846,2022-11-01
44,country_32,ID_2732,2000-04-01
45,country_20,ID_1703,2015-08-01
46,country_38,ID_3113,2010-01-01
47,country_31,ID_2595,2023-04-01
48,country_35,ID_1189,2006-08-01
49,country_42,ID_3165,2018-06-01
50,country_4,ID_300,2004-04-01
51,country_0,ID_66,2004-03-01
52,country_22,ID_1941,2008-08-01
53,country_32,ID_2793,2022-05-01
